id,title,year,decade,runtime,director_id,director_fn,director_ln,country,genres,title_original,cast,description,language,note,production_company,cinematography,picture,producer,writer,created,updated
371,'Round Midnight,1986,1980,133,204,Bertrand,Tavernier,US,Drama,'Round Midnight,"Dexter Gordon, François Cluzet, Gabrielle Haker, Sandra Reaves-Phillips, Lonette McKee, Christine Pascal","",English,US / FR,"","","","","",2023-12-29 15:12:35.451464,2023-12-29 15:12:35.451464
131,12 Angry Men,1957,1950,96,77,Sidney,Lumet,US,Drama,12 Angry Men,"Henry Fonda, Lee J. Cobb, Ed Begley, E.G. Marshall, Jack Warden, John Fiedler, Jack Klugman, Edward Binns, Joseph Sweeney, George Voskovec, Robert Webber, Rudy Bond","",English,"","","","","","",2023-12-29 15:12:42.146118,2023-12-29 15:12:42.146118
1073,12 Monkeys,1995,1990,129,521,Terry,Gilliam,US,"Mystery, Science Fiction, Thriller",12 Monkeys,"Bruce Willis, Madeleine Stowe, Brad Pitt, Christopher Plummer, David Morse, Jon Seda, Christopher Meloni, Frank Gorshin","",English,"","","","","","",2023-12-29 15:12:40.360939,2023-12-29 15:12:40.360939
1284,13 Assassins,2010,2010,141,608,Takashi,Miike,JP,"Action, Adventure, Drama",13 Assassins,"Kōji Yakusho, Takayuki Yamada, Yūsuke Iseya, Tsuyoshi Ihara, Hiroki Matsukata, Mikijirō Hira, Gorō Inagaki, Masachika Ichimura","",Japanese,"JP, UK","","","","","",2023-12-29 15:12:41.465004,2023-12-29 15:12:41.466005
775,13 Rue Madeleine,1947,1940,95,117,Henry,Hathaway,US,"Drama, Thriller, War",13 Rue Madeleine,"James Cagney, Annabella, Richard Conte, Frank Latimore, Walter Abel, Melville Cooper, Sam Jaffe","",English,"","","","","","",2023-12-29 15:12:33.457927,2023-12-29 15:12:33.457927
825,"20,000 Leagues Under the Sea",1954,1950,127,71,Richard,Fleischer,US,"Adventure, Drama, Science Fiction","20,000 Leagues Under the Sea","Kirk Douglas, James Mason, Paul Lukas, Peter Lorre, Robert J. Wilke, Ted de Corsia, Carleton Young, J. M. Kerrigan","",English,"","","","","","",2023-12-29 15:12:42.008238,2023-12-29 15:12:42.008238
9,2001: A Space Odyssey,1968,1960,143,5,Stanley,Kubrick,US,"Drama, Science Fiction, Thriller",2001: A Space Odyssey,"Keir Dullea, Gary Lockwood, William Sylvester, Margaret Tyzack, Leonard Rossiter","",English,"","","","","","",2023-12-29 15:12:40.076171,2023-12-29 15:12:40.076171
10,2046,2004,2000,129,6,Kar Wai,Wong,HK,"Drama, Mystery, Science Fiction, Thriller",2046,"Tony Leung Chiu Wai, Gong Li, Takuya Kimura, Faye Wong, Zhang Ziyi, Carina Lau, Chen Chang","",Cantonese,"Hong Kong, France, Italy, China, German","","","","","",2023-12-29 15:12:41.236551,2023-12-29 15:25:13.068750
160,3:10 to Yuma,2007,2000,122,97,James,Mangold,US,"Drama, Thriller, Western",3:10 to Yuma,"Russell Crowe, Christian Bale, Peter Fonda, Gretchen Mol, Ben Foster, Dallas Roberts, Alan Tudyk, Vinessa Shaw, Logan Lerman","",English,"","","","","","",2023-12-29 15:12:42.813619,2023-12-29 15:12:42.813619
862,42,2013,2010,128,401,Brian,Helgeland,US,Drama,42,"Chadwick Boseman, Harrison Ford, Nicole Beharie, Christopher Meloni, Ryan Merriman, Lucas Black, André Holland, Alan Tudyk, Hamish Linklater, T. R. Knight, John C. McGinley, Toby Huss, Max Gail, Brad Beyer","",English,"","","","","","",2023-12-29 15:12:38.904437,2023-12-29 15:12:38.904437
1279,42nd Street,1933,1930,89,317,Lloyd,Bacon,US,"Comedy, Drama, Romance",42nd Street,"Warner Baxter, Bebe Daniels, George Brent, Una Merkel, Ruby Keeler, Guy Kibbee, Ginger Rogers, Dick Powell, Ned Sparks, George E. Stone, Allen Jenkins","",English,"","","","","","",2023-12-29 15:12:37.581542,2023-12-29 15:12:37.581542
366,5 Card Stud,1968,1960,103,117,Henry,Hathaway,US,"Drama, Mystery, Thriller, Western",5 Card Stud,"Dean Martin, Robert Mitchum, Inger Stevens, Roddy McDowall, Katherine Justice","",English,"","","","","","",2023-12-29 15:12:33.464927,2023-12-29 15:12:33.464927
669,5 Fingers,1952,1950,108,150,Joseph L.,Mankiewicz,US,"Drama, Thriller",5 Fingers,"James Mason, Danielle Darrieux, Michael Rennie, Walter Hampden, Oskar Karlweis, Herbert Berghof, John Wengraf, Ben Astar, Roger Plowden","",English,"","","","","","",2023-12-29 15:12:34.318283,2023-12-29 15:12:34.318283
939,50/50,2011,2010,100,442,Jonathan,Levine,US,"Comedy, Drama",50/50,"Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick, Bryce Dallas Howard, Anjelica Huston, Serge Houde, Andrew Airlie, Matt Frewer, Philip Baker Hall, Donna Yamamoto","",English,"","","","","","",2023-12-29 15:12:39.428275,2023-12-29 15:12:39.428275
864,500 Days of Summer,2009,2000,95,402,Marc,Webb,US,"Comedy, Drama, Romance",500 Days of Summer,"Joseph Gordon-Levitt, Zooey Deschanel, Geoffrey Arend, Chloë Grace Moretz, Matthew Gray Gubler, Clark Gregg, Patricia Belcher, Rachel Boston, Minka Kelly","",English,"","","","","","",2023-12-29 15:12:38.910886,2023-12-29 15:12:38.910886
1169,7 Women,1966,1960,87,41,John,Ford,US,"Drama, History",7 Women,"Anne Bancroft, Margaret Leighton, Flora Robson, Sue Lyon, Mildred Dunnock, Betty Field, Anna Lee, Eddie Albert, Irene Tsu","",English,"","","","","","",2023-12-29 15:12:38.973763,2023-12-29 15:12:38.973763
919,A Big Hand for the Little Lady,1966,1960,95,433,Fielder,Cook,US,"Comedy, Western",A Big Hand for the Little Lady,"Henry Fonda, Joanne Woodward, Jason Robards, Paul Ford, Charles Bickford, Burgess Meredith, Kevin McCarthy, Robert Middleton, John Qualen","",English,"","","","","","",2023-12-29 15:12:39.343341,2023-12-29 15:12:39.343341
1283,A Blueprint for Murder,1953,1950,76,607,Andrew L.,Stone,US,"Drama, Mystery, Thriller",A Blueprint for Murder,"Joseph Cotten, Jean Peters, Gary Merrill, Catherine McLeod, Jack Kruschen, Barney Phillips","",English,"","","","","","",2023-12-29 15:12:41.458646,2023-12-29 15:12:41.458646
647,A Canterbury Tale,1944,1940,124,256,Michael,Powell,UK,"Comedy, Drama, Mystery, Thriller",A Canterbury Tale,"Eric Portman, Sheila Sim, Dennis Price, Kim Hunter, Sgt. John Sweet, Charles Hawtrey, Esmond Knight","",English,"","","","","","",2023-12-29 15:12:36.354939,2023-12-29 15:12:36.354939
578,A Christmas Carol,1938,1930,69,209,Edwin L.,Marin,US,"Drama, Fantasy",A Christmas Carol,"Reginald Owen, Gene Lockhart, Kathleen Lockhart, Terry Kilburn, Barry MacKay, Lynne Carver, Bunny Beatty, June Lockhart, John O'Day, Leo G. Carroll, Ann Rutherford, Lionel Braham, D'Arcy Corrigan, Ronald Sinclair, Elvira Stevens, Forrester Harvey","",English,"","","","","","",2023-12-29 15:12:35.528620,2023-12-29 15:12:35.528620
107,A Day At the Races,1937,1930,109,56,Sam,Wood,US,"Comedy, Romance",A Day At the Races,"Groucho Marx, Harpo Marx, Chico Marx, Allan Jones, Maureen O'Sullivan, Margaret Dumont","",English,"","","","","","",2023-12-29 15:12:40.703816,2023-12-29 15:12:40.703816
1049,A Fish Called Wanda,1988,1980,108,509,Charles,Crichton,UK,"Comedy, Crime",A Fish Called Wanda,"John Cleese, Jamie Lee Curtis, Kevin Kline, Michael Palin, Maria Aitken, Tom Georgeson, Patricia Hayes, Geoffrey Palmer, Cynthia Cleese","",English,"UK, US","","","","","",2023-12-29 15:12:40.219951,2023-12-29 15:12:40.219951
278,A Fistful of Dollars,1964,1960,99,161,Sergio,Leone,US,Western,A Fistful of Dollars,"Clint Eastwood, Marianne Koch, Josef Egger, Wolfgang Lukschy, Gian Maria Volonté, Daniel Martín, Bruno Carotenuto, Benito Stefanelli","",English,"","","","","","",2023-12-29 15:12:34.691002,2023-12-29 15:12:34.691002
